Date,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Food System Impact,All Food Security Categories,Event ID,Date Event Entered,Date Event Modified,Year,Month,post_oct7
2025-09-16,OPT,PSE,Gaza Strip,31.4540002809,34.4112396557,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118872,2025-10-16,2025-10-16,2025,9,1
2025-09-15,OPT,PSE,Gaza Strip,31.2969612863,34.2838659705,(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118679,2025-10-11,2025-10-14,2025,9,1
2025-09-15,OPT,PSE,Gaza Strip,31.3443293,34.3095897,"(3) District, Municipality or Commune",Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118691,2025-10-12,2025-10-12,2025,9,1
2025-09-14,OPT,PSE,Gaza Strip,31.2927440756,34.2499006268,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118672,2025-10-11,2025-10-14,2025,9,1
2025-09-13,OPT,PSE,Gaza Strip,31.2969612863,34.2838659705,(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118677,2025-10-11,2025-10-14,2025,9,1
2025-09-13,OPT,PSE,Gaza Strip,31.4705461623,34.432179348,(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118813,2025-10-14,2025-10-14,2025,9,1
2025-09-12,OPT,PSE,Gaza Strip,31.2756165942,34.2546757863,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118670,2025-10-11,2025-10-14,2025,9,1
2025-09-12,OPT,PSE,Gaza Strip,31.54977,34.5024697,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118730,2025-10-12,2025-10-13,2025,9,1
2025-03-26,OPT,PSE,Gaza Strip,31.4482157917,34.393408289,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Drone,"Food Supply, Aid Systems","Attack On a Market/Restaurant/Supermarket/Bakery, Access Constraints, Attack On Aid Workers Carrying Out Food-Related Programme, Incident Affecting People Seeking Food Aid, Attack On Distribution Site",95347,2025-04-30,2025-09-18,2025,3,1
2025-09-11,OPT,PSE,Gaza Strip,31.2756165942,34.2546757863,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118669,2025-10-11,2025-10-14,2025,9,1
