Date,Event Description,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Location of Incident,Number of Attacks on Health Facilities Reporting Destruction,Number of Attacks on Health Facilities Reporting Damaged,Forceful Entry into Health Facility,Occupation of Health Facility,Vicinity of Health Facility Affected,Health Transportation Destroyed,Health Transportation Damaged,Health Transportation Stolen/Hijacked,"Affects Access to Medicines, Vaccines And Other Health Products",Health Workers Killed,Health Workers Injured,Health Workers Kidnapped,Health Workers Arrested,Known Kidnapping or Arrest Outcome,Health Workers Threatened,Health Workers Assaulted,Health Workers Sexually Assaulted,Conflict-Related Violence,Political-Related Violence,COVID-19-Related Violence,Ebola-Related Violence,Vaccination-Related Violence,Attacks on Emergency Medical Services,Polio-Related Violence,Children's Health Services Affected,Attacks On Children's Hospitals,Women's Health Services Affected,Hospital Utilities Affected,SiND Event ID,Date Event Entered,Date Event Modified,Food_Incidents_Count,Food_System_Impacts,Food_Security_Categories,Event_Description_Clean,Event_Description_Words,has_coords,Year,Month,post_oct7
2025-12-04,04 December 2025: An ambulance was obstructed by Israeli settlers while travelling to Ramallah city. ,OPT,PSE,West Bank,31.8,35.1,(2) 25 km Precision ,Civilian,Israeli settlers,Firearms,Checkpoint,0,0,0,0,0,0,0,0,True,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,122685,2026-01-11,2026-02-04,,,,An ambulance was obstructed by Israeli settlers while travelling to Ramallah city.,12,1,2025,12,1
2025-12-03,"03 December 2025: The vicinity of a medical facility was hit when an Israeli forces missile was fired at a camp, killing five people, including two children, and injuring 32. ",OPT,PSE,Gaza Strip,31.3,34.2,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Missile,IDP/Refugee Camp,0,0,0,0,1,0,0,0,False,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,122649,2026-01-08,2026-01-16,,,,"The vicinity of a medical facility was hit when an Israeli forces missile was fired at a camp, killing five people, including two children, and injuring 32.",27,1,2025,12,1
2025-12-02,02 December 2025: A medical facility was stormed by Israeli forces. ,OPT,PSE,Gaza Strip,31.5,34.4,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Firearms,Health Building,0,0,1,0,0,0,0,0,False,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,122693,2026-01-12,2026-02-06,,,,A medical facility was stormed by Israeli forces.,8,1,2025,12,1
2025-12-02,02 December 2025: A medical facility was stormed by Israeli forces. ,OPT,PSE,Gaza Strip,31.5,34.4,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Firearms,Health Building,0,0,1,0,0,0,0,0,False,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,122694,2026-01-12,2026-02-06,,,,A medical facility was stormed by Israeli forces.,8,1,2025,12,1
2025-12-02,02 December 2025: A medical facility was stormed by Israeli forces. ,OPT,PSE,West Bank,31.5,35.0,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Firearms,Health Building,0,0,1,0,0,0,0,0,False,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,122695,2026-01-12,2026-02-06,,,,A medical facility was stormed by Israeli forces.,8,1,2025,12,1
2025-12-02,02 December 2025: A medical facility was stormed by Israeli forces. ,OPT,PSE,West Bank,31.5,35.0,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Firearms,Health Building,0,0,1,0,0,0,0,0,False,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,122696,2026-01-12,2026-02-06,,,,A medical facility was stormed by Israeli forces.,8,1,2025,12,1
2025-12-01,"01 December 2025: Ambulances attempting to reach injured people, including IDPs, were bombed by Israeli forces. ",OPT,PSE,Gaza Strip,31.5,34.4,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Aerial Bomb: No Information on Platform Type,No Information,0,0,0,0,0,0,1,0,False,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,122648,2026-01-08,2026-01-13,,,,"Ambulances attempting to reach injured people, including IDPs, were bombed by Israeli forces.",13,1,2025,12,1
2025-12-01,"01 December 2025: A medical facility was raided by Israeli forces disguised as medical personnel, killing two Palestinians. ",OPT,PSE,West Bank,32.4,35.2,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Firearms,Health Building,0,0,1,0,0,0,0,0,False,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,123837,2026-01-29,2026-02-06,,,,"A medical facility was raided by Israeli forces disguised as medical personnel, killing two Palestinians.",15,1,2025,12,1
2025-11-26,26 November 2025: Ambulances and UNRWA vehicles were prevented from accessing an area by Israeli settlers. ,OPT,PSE,West Bank,31.7,35.2,"(3) District, Communicipality or Commune ",Civilian,Israeli settlers,No Information on the Weapon Used,Open Space,0,0,0,0,0,0,0,0,True,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,122636,2026-01-08,2026-01-29,,,,Ambulances and UNRWA vehicles were prevented from accessing an area by Israeli settlers.,13,1,2025,11,1
2025-11-26,"26 November 2025: A street leading to a medical health facility was closed down by Israeli forces. _x000D_
",OPT,PSE,West Bank,32.3,35.3,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Firearms,Road,0,0,0,0,0,0,0,0,True,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,122682,2026-01-11,2026-02-06,,,,A street leading to a medical health facility was closed down by Israeli forces. _x000D_,15,1,2025,11,1
