Date,Event Description,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Location of Incident,Number of Attacks on Health Facilities Reporting Destruction,Number of Attacks on Health Facilities Reporting Damaged,Forceful Entry into Health Facility,Occupation of Health Facility,Vicinity of Health Facility Affected,Health Transportation Destroyed,Health Transportation Damaged,Health Transportation Stolen/Hijacked,"Affects Access to Medicines, Vaccines And Other Health Products",Health Workers Killed,Health Workers Injured,Health Workers Kidnapped,Health Workers Arrested,Known Kidnapping or Arrest Outcome,Health Workers Threatened,Health Workers Assaulted,Health Workers Sexually Assaulted,Conflict-Related Violence,Political-Related Violence,COVID-19-Related Violence,Ebola-Related Violence,Vaccination-Related Violence,Attacks on Emergency Medical Services,Polio-Related Violence,Children's Health Services Affected,Attacks On Children's Hospitals,Women's Health Services Affected,Hospital Utilities Affected,SiND Event ID,Date Event Entered,Date Event Modified,Food_Incidents_Count,Food_System_Impacts,Food_Security_Categories,Event_Description_Clean,Event_Description_Words,has_coords,Year,Month,post_oct7
2024-10-08,08 October 2024: Red Cross were refused participation in the evacuation of a medical facility. ,OPT,PSE,Gaza Strip,31.5,34.5,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Not Applicable: No Direct Violence,Administration,0,0,0,0,0,0,0,0,True,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,87377,2025-01-19,2025-04-11,2.0,"Food Supply | Food Supply, Food Production",Damage/Destruction To Food Storage Infrastructure | Demolition Of Food Production/Storage Infrastructure,Red Cross were refused participation in the evacuation of a medical facility.,12,1,2024,10,1
2024-10-07,"07 October 2024: Tents sheltering displaced people at a medical facility were hit by Israeli airstrikes, killing 11 people and injuring an unspecified number of other, including a journalist. ",OPT,PSE,Gaza Strip,31.4,34.3,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Unspecified Explosive,Health Building,0,0,0,0,0,0,0,0,False,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,84861,2024-10-26,2025-04-11,,,,"Tents sheltering displaced people at a medical facility were hit by Israeli airstrikes, killing 11 people and injuring an unspecified number of other, including a journalist.",26,1,2024,10,1
2024-10-07,"07 October 2024: A medical facility’s courtyard and gate was engulfed with smoke bombs fired by Israeli forces. _x000D_
",OPT,PSE,Gaza Strip,31.5,34.5,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,"Tasers, Live and Rubber Bullets",Health Building,0,0,0,0,0,0,0,0,False,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,84862,2024-10-26,2025-04-11,,,,A medical facility’s courtyard and gate was engulfed with smoke bombs fired by Israeli forces. _x000D_,16,1,2024,10,1
2024-10-07,"07 October 2024: The road leading to a medical facility entrance was destroyed, blocking access to the medical facility morgue, medical supply storage, and fuel warehouses. Ambulances were also obstructed.",OPT,PSE,West Bank,32.4,35.2,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Other Weapon,Road,0,0,0,0,0,0,0,0,True,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,84966,2024-10-30,2025-04-11,,,,"The road leading to a medical facility entrance was destroyed, blocking access to the medical facility morgue, medical supply storage, and fuel warehouses. Ambulances were also obstructed.",27,1,2024,10,1
2024-10-07,"07 October 2024: A medical facility was besieged by Israeli forces after storming the city with multiple vehicles. _x000D_
",OPT,PSE,West Bank,32.3,35.0,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Other Weapon,Health Building,0,0,0,0,0,0,0,0,True,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,84967,2024-10-30,2025-04-11,,,,A medical facility was besieged by Israeli forces after storming the city with multiple vehicles. _x000D_,16,1,2024,10,1
2024-10-07,07 October 2024: A Red Cross medical facility was issued an evacuation order by Israeli forces and threatened with raid and destruction. The facility was evacuated and put out of service.,OPT,PSE,Gaza Strip,31.5,34.4,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Not Applicable: No Direct Violence,Communication,0,0,0,0,0,0,0,0,True,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,87375,2025-01-19,2025-04-11,,,,A Red Cross medical facility was issued an evacuation order by Israeli forces and threatened with raid and destruction. The facility was evacuated and put out of service.,28,1,2024,10,1
2024-10-06,06 October 2024: The vicinity of a medical facility was hit by suspected Israeli strikes.,OPT,PSE,Gaza Strip,31.4,34.3,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Unspecified Explosive,Health Building,0,0,0,0,1,0,0,0,False,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,84857,2024-10-26,2025-04-11,,,,The vicinity of a medical facility was hit by suspected Israeli strikes.,12,1,2024,10,1
2024-10-06,"06 October 2024: Red Cross staff were forced to evacuate their homes, resulting in the suspension of medical services at four of their clinics._x000D_
",OPT,PSE,Gaza Strip,31.5,34.5,"(3) District, Communicipality or Commune ",Government: Military,Israeli Defence Forces,Not Applicable: No Direct Violence,Administration,0,0,0,0,0,0,0,0,True,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,84858,2024-10-26,2025-04-11,,,,"Red Cross staff were forced to evacuate their homes, resulting in the suspension of medical services at four of their clinics._x000D_",21,1,2024,10,1
2024-10-06,"06 October 2024: A Red Cross medical facility was issued an evacuation order by Israeli forces, resulting in the suspension of its services.",OPT,PSE,Gaza Strip,31.3,34.3,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Not Applicable: No Direct Violence,Administration,0,0,0,0,0,0,0,0,True,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,87376,2025-01-19,2025-04-11,,,,"A Red Cross medical facility was issued an evacuation order by Israeli forces, resulting in the suspension of its services.",20,1,2024,10,1
2024-10-05,"05 October 2024: In Jabalia Refugee Camp, the vicinity of a clinic was hit by Israeli airstrikes, killing at least two Palestinians and injuring an unspecified number of others._x000D_
",OPT,PSE,Gaza Strip,31.5,34.4,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Health Building,0,0,0,0,1,0,0,0,False,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,84855,2024-10-26,2025-04-11,1.0,Aid Systems,"Bureaucratic Obstacles Of Aid Access, Attack On Distribution Site","In Jabalia Refugee Camp, the vicinity of a clinic was hit by Israeli airstrikes, killing at least two Palestinians and injuring an unspecified number of others._x000D_",26,1,2024,10,1
2024-10-05,"05 October 2024: The vicinity of a medical facility inside a camp, was hit by an Israeli aristrike killing and injuring an unspecified number of people. ",OPT,PSE,Gaza Strip,31.5,34.4,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Health Building,0,0,0,0,1,0,0,0,False,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,85736,2024-12-01,2025-04-11,1.0,Aid Systems,"Bureaucratic Obstacles Of Aid Access, Attack On Distribution Site","The vicinity of a medical facility inside a camp, was hit by an Israeli aristrike killing and injuring an unspecified number of people.",23,1,2024,10,1
2024-10-05,05 October 2024: A Palestinian was killed in a camp by an Israeli landmine in the vicinity of a medical facility.,OPT,PSE,Gaza Strip,31.3,34.2,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Mine,Health Building,0,0,0,0,1,0,0,0,False,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,86548,2024-12-23,2025-04-11,1.0,Aid Systems,"Bureaucratic Obstacles Of Aid Access, Attack On Distribution Site",A Palestinian was killed in a camp by an Israeli landmine in the vicinity of a medical facility.,18,1,2024,10,1
2024-10-02,02 October 2024: The vicinity of a clinic was hit by Israeli airstrikes.,OPT,PSE,Gaza Strip,31.5,34.4,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Health Building,0,0,0,0,1,0,0,0,False,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,84851,2024-10-26,2025-04-11,,,,The vicinity of a clinic was hit by Israeli airstrikes.,10,1,2024,10,1
2024-10-02,02 October 2024: Three Palestinian paramedics were severely beaten by Israeli forces. ,OPT,PSE,West Bank,31.5,35.0,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Firearms,No Information,0,0,0,0,0,0,0,0,False,0,3,0,0,,0,3,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,84965,2024-10-30,2025-04-11,,,,Three Palestinian paramedics were severely beaten by Israeli forces.,9,1,2024,10,1
2024-10-01,"01 October 2024: In Balata Refugee Camp, six PRCS paramedics were injured when undercover Israeli forces fired live ammunition at their ambulance, damaging it.",OPT,PSE,West Bank,32.2,35.2,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Firearms,IDP/Refugee Camp,0,0,0,0,0,0,1,0,False,0,6,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,84531,2024-10-12,2025-04-11,,,,"In Balata Refugee Camp, six PRCS paramedics were injured when undercover Israeli forces fired live ammunition at their ambulance, damaging it.",21,1,2024,10,1
2024-10-01,"01 October 2024: A Red Cross ambulance crew was prevented from evacuating the injured in the camp, including six Red Cross health workers who had been fired at. They were then directly fired at, damaging the body and windshield of the ambulance.",OPT,PSE,West Bank,32.2,35.2,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Firearms,IDP/Refugee Camp,0,0,0,0,0,0,1,0,True,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,84536,2024-10-12,2025-04-11,,,,"A Red Cross ambulance crew was prevented from evacuating the injured in the camp, including six Red Cross health workers who had been fired at. They were then directly fired at, damaging the body and windshield of the ambulance.",39,1,2024,10,1
2024-10-01,"01 October 2024: In Balata Refugee Camp, a PRCS ambulance was fired at for a second time by Israeli forces live ammunition, injuring two crew members while transporting a wounded individual.",OPT,PSE,West Bank,32.2,35.2,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Firearms,IDP/Refugee Camp,0,0,0,0,0,0,1,0,False,0,2,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,84537,2024-10-12,2025-04-11,,,,"In Balata Refugee Camp, a PRCS ambulance was fired at for a second time by Israeli forces live ammunition, injuring two crew members while transporting a wounded individual.",28,1,2024,10,1
2024-10-01,01 October 2024: Ambulances were unable to reach the area and evacuate injured Palestinians for several hours due to being fired at by Israeli quadcopters amid the ongoing Israeli incursion.,OPT,PSE,Gaza Strip,31.3,34.3,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Aerial Bomb: Drone,Open Space,0,0,0,0,0,0,0,0,False,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,84849,2024-10-26,2025-04-11,,,,Ambulances were unable to reach the area and evacuate injured Palestinians for several hours due to being fired at by Israeli quadcopters amid the ongoing Israeli incursion.,27,1,2024,10,1
2024-10-01,01 October 2024: Ambulances were attacked by Israeli forces who opened fire at them.,OPT,PSE,Gaza Strip,31.4,34.4,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Firearms,Road,0,0,0,0,0,0,0,0,False,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,84850,2024-10-26,2025-04-11,,,,Ambulances were attacked by Israeli forces who opened fire at them.,11,1,2024,10,1
2024-10-01,"01 October 2024: In Balata Refugee Camp, at least 3,500 pupils and over 50 UNRWA staff members were trapped for two hours inside their schools, clinics, and offices during an Israeli forces raid.",OPT,PSE,West Bank,32.2,35.2,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Firearms,Open Space,0,0,0,0,0,0,0,0,False,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,84961,2024-10-30,2025-01-31,,,,"In Balata Refugee Camp, at least 3,500 pupils and over 50 UNRWA staff members were trapped for two hours inside their schools, clinics, and offices during an Israeli forces raid.",30,1,2024,10,1
2024-10-01,"01 October 2024: Red Cross health workers were handcuffed, had their IDs confiscated, used as human shields, and denied access to a wounded Palestinian who was arrested upon the health workers' release.",OPT,PSE,West Bank,32.2,35.2,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Firearms,Project Site,0,0,0,0,0,0,0,0,True,0,0,0,2,Freed,2,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,84963,2024-10-30,2025-04-11,,,,"Red Cross health workers were handcuffed, had their IDs confiscated, used as human shields, and denied access to a wounded Palestinian who was arrested upon the health workers' release.",29,1,2024,10,1
2024-10-01,"01 October 2024: Two doctors, a UN-agency teacher and three children were killed when Israeli airstrikes hit their family home during the night, killing a total of 23 family members",OPT,PSE,Gaza Strip,31.3,34.3,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Home,0,0,0,0,0,0,0,0,False,2,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,85581,2024-11-26,2025-04-11,,,,"Two doctors, a UN-agency teacher and three children were killed when Israeli airstrikes hit their family home during the night, killing a total of 23 family members",27,1,2024,10,1
2024-10-01,"01 October 2024: A Red Cross ambulance was fired at by Israeli forces live ammunition, damaging it and injuring a crew member. They were then evacuated.",OPT,PSE,West Bank,32.2,35.2,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Firearms,IDP/Refugee Camp,0,0,0,0,0,0,1,0,False,0,1,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,87745,2025-01-25,2025-04-11,,,,"A Red Cross ambulance was fired at by Israeli forces live ammunition, damaging it and injuring a crew member. They were then evacuated.",23,1,2024,10,1
2024-10-01,"October 2024: A health worker and a humanitarian worker were detained by Israeli forces. They were released in February 2025 during a prisoner exchange, following inhumane treatment. ",OPT,PSE,Gaza Strip,31.4,34.3,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Firearms,No Information,0,0,0,0,0,0,0,0,False,0,0,0,1,Freed,1,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,93379,2025-03-30,2025-05-21,,,,"October 2024: A health worker and a humanitarian worker were detained by Israeli forces. They were released in February 2025 during a prisoner exchange, following inhumane treatment.",27,1,2024,10,1
2024-09-30,30 September 2024: The courtyard of a medical facility was reportedly fired at by an Israeli drone.,OPT,PSE,Gaza Strip,31.3,34.3,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Aerial Bomb: Drone,Health Building,0,0,0,0,0,0,0,0,False,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,85322,2024-11-14,2025-04-11,1.0,Food Supply,Attack On a Market/Restaurant/Supermarket/Bakery,The courtyard of a medical facility was reportedly fired at by an Israeli drone.,14,1,2024,9,1
2024-09-29,29 September 2024: A Red Cross crew was held at gunpoint by Israeli forces who denied them access to casualties within a besieged home.,OPT,PSE,West Bank,32.3,35.3,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Firearms,Project Site,0,0,0,0,0,0,0,0,True,0,0,0,0,,2,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,87739,2025-01-25,2025-04-11,,,,A Red Cross crew was held at gunpoint by Israeli forces who denied them access to casualties within a besieged home.,21,1,2024,9,1
2024-09-29,29 September 2024: A patient was arrested from a Red Cross ambulance by Israeli forces and released after two hours.,OPT,PSE,West Bank,32.3,35.3,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Firearms,Road,0,0,0,0,0,0,0,0,False,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,87742,2025-01-25,2025-04-11,,,,A patient was arrested from a Red Cross ambulance by Israeli forces and released after two hours.,17,1,2024,9,1
2024-09-27,"27 September 2024: The compound of NGO-supported medical facility was struck by an unspecified Israeli bomb, killing at least one person and injuring seven others. Several displaced persons tents were also destroyed. 
",OPT,PSE,Gaza Strip,31.4,34.3,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Unspecified Explosive,Health Building,0,1,0,0,0,0,0,0,False,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,85580,2024-11-26,2025-04-11,1.0,Food Production,Damage/Destruction Of Food-Related Equipment,"The compound of NGO-supported medical facility was struck by an unspecified Israeli bomb, killing at least one person and injuring seven others. Several displaced persons tents were also destroyed.",29,1,2024,9,1
2024-09-26,"26 September 2024: A Palestinian health and education INGO worker was killed when Hamas gunmen opened fire on her car after she reportedly refused to hand over funds to the group. Hamas claimed the incident was a mistake._x000D_
",OPT,PSE,Gaza Strip,31.3,34.3,(2) 25 km Precision ,NSA,Hamas,Firearms,Road,0,0,0,0,0,0,0,0,False,1,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,84477,2024-10-10,2025-04-11,1.0,"Food Supply, Food Production",Demolition Of Food Production/Storage Infrastructure,A Palestinian health and education INGO worker was killed when Hamas gunmen opened fire on her car after she reportedly refused to hand over funds to the group. Hamas claimed the incident was a mistake._x000D_,35,1,2024,9,1
2024-09-25,"25 September 2024: In Nuseirat Refugee Camp, an NGO-supported medical facility was attacked by Israeli drones.",OPT,PSE,Gaza Strip,31.4,34.3,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Aerial Bomb: Drone,Health Building,0,0,0,0,0,0,0,0,False,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,WomensHealthEvent,NotApplicable,84476,2024-10-10,2025-04-11,1.0,"Food Supply, Food Production",Demolition Of Food Production/Storage Infrastructure,"In Nuseirat Refugee Camp, an NGO-supported medical facility was attacked by Israeli drones.",13,1,2024,9,1
2024-09-24,24 September 2024: Red Cross health worker was beaten and pushed around by Israeli forces while responding to victims. He was then forced to leave the scene. ,OPT,PSE,West Bank,31.7,35.2,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Firearm: Blunt Use,Project Site,0,0,0,0,0,0,0,0,True,0,1,0,0,,0,1,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,87738,2025-01-25,2025-06-24,,,,Red Cross health worker was beaten and pushed around by Israeli forces while responding to victims. He was then forced to leave the scene.,24,1,2024,9,1
2024-09-21,"21 September 2024: Ministry of Health warehouses were hit by Israeli forces, killing five employees, and injuring an unspecified number of others. _x000D_
",OPT,PSE,Gaza Strip,31.2,34.2,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Warehouse,0,1,0,0,0,0,0,0,False,5,1,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,84475,2024-10-10,2025-04-11,,,,"Ministry of Health warehouses were hit by Israeli forces, killing five employees, and injuring an unspecified number of others. _x000D_",20,1,2024,9,1
2024-09-21,"21 September 2024: In a camp, a house in the vicinity of a medical facility was hit by Israeli forces, killing and injuring an unspecified number of people.",OPT,PSE,Gaza Strip,31.3,34.2,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Unspecified Explosive,Health Building,0,0,0,0,1,0,0,0,False,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,86545,2024-12-23,2025-04-11,,,,"In a camp, a house in the vicinity of a medical facility was hit by Israeli forces, killing and injuring an unspecified number of people.",25,1,2024,9,1
2024-09-19,19 September 2024: A male doctor and six other people were killed when an Israeli airstrike hit a home. ,OPT,PSE,Gaza Strip,31.5,34.4,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Home,0,0,0,0,0,0,0,0,False,1,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,84474,2024-10-10,2025-04-11,,,,A male doctor and six other people were killed when an Israeli airstrike hit a home.,16,1,2024,9,1
2024-09-19,"19 September 2024: A nurse, his wife and three children were killed when their home was destroyed by Israeli airstrikes. ",OPT,PSE,Gaza Strip,31.5,34.4,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Home,0,0,0,0,0,0,0,0,False,1,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,85378,2024-11-15,2025-04-11,,,,"A nurse, his wife and three children were killed when their home was destroyed by Israeli airstrikes.",17,1,2024,9,1
2024-09-18,"18 September 2024: An ambulance transporting an infant to medical facility was obstructed by Israeli forces during clashes between Israeli settlers, Israeli forces, and Palestinians. The Red Cross medics were also beaten and verbally assaulted. ",OPT,PSE,West Bank,32.2,35.2,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Firearm: Blunt Use,Road,0,0,0,0,0,0,0,0,True,0,1,0,0,,1,1,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,ChildrensHealthEvent,NotApplicable,NotApplicable,NotApplicable,84479,2024-10-10,2025-06-24,,,,"An ambulance transporting an infant to medical facility was obstructed by Israeli forces during clashes between Israeli settlers, Israeli forces, and Palestinians. The Red Cross medics were also beaten and verbally assaulted.",32,1,2024,9,1
2024-09-18,"18 September 2024: A Red Cross psychologist was arrested from her home alongside her husband by Israeli forces. _x000D_
",OPT,PSE,West Bank,32.1,34.9,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Firearms,Home,0,0,0,0,0,0,0,0,False,0,0,0,1,NoInformation,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,85130,2024-11-06,2025-06-06,,,,A Red Cross psychologist was arrested from her home alongside her husband by Israeli forces. _x000D_,16,1,2024,9,1
2024-09-17,"17 September 2024: In Al-Bureij Refugee Camp, ambulance crews responding to a previous airstrike were shot at by Israeli drones.",OPT,PSE,Gaza Strip,31.4,34.4,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Aerial Bomb: Drone,IDP/Refugee Camp,0,0,0,0,0,0,0,0,False,0,0,0,0,,1,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,84473,2024-10-10,2025-04-11,,,,"In Al-Bureij Refugee Camp, ambulance crews responding to a previous airstrike were shot at by Israeli drones.",17,1,2024,9,1
2024-09-14,"14 September 2024: In Al-Maghazi Refugee Camp, the area of the UNRWA clinic was hit by Israeli artillery._x000D_
",OPT,PSE,Gaza Strip,31.4,34.3,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Artillery,Health Building,0,0,0,0,1,0,0,0,False,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,84003,2024-09-30,2025-04-11,,,,"In Al-Maghazi Refugee Camp, the area of the UNRWA clinic was hit by Israeli artillery._x000D_",15,1,2024,9,1
2024-09-12,12 September 2024: The vicinity of a medical facility was hit by an Israeli airstrike. ,OPT,PSE,Gaza Strip,31.3,34.3,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Health Building,0,0,0,0,1,0,0,0,False,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,83998,2024-09-30,2025-04-11,3.0,Food Supply,"Attack On a Market/Restaurant/Supermarket/Bakery, Access Constraints",The vicinity of a medical facility was hit by an Israeli airstrike.,12,1,2024,9,1
2024-09-12,12 September 2024: An unspecified number of Palestinian ambulances were obstructed and searched by Israeli forces during a military operation in the area.,OPT,PSE,West Bank,32.3,35.0,(2) 25 km Precision ,Government: Military,Israeli Defence Forces,Firearms,No Information,0,0,0,0,0,0,0,0,True,0,0,0,0,,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,NotApplicable,84242,2024-10-02,2025-04-11,,,,An unspecified number of Palestinian ambulances were obstructed and searched by Israeli forces during a military operation in the area.,20,1,2024,9,1
